experiment,method,seed,noise,agents,episodes,metric,value
i1,raw_history,100,0.0,6,300,group_cost.fragile,153.23444444444445
i1,raw_history,100,0.0,6,300,group_cost.robust,206.21444444444444
i1,raw_history,100,0.0,6,300,success_first,0.055
i1,raw_history,100,0.0,6,300,fail_open,0.8983333333333333
i1,raw_history,100,0.0,6,300,refusal,0.04666666666666667
i1,raw_history,100,0.0,6,300,hazard_hits,5.573888888888889
i1,raw_history,100,0.0,6,300,duplicate_rate,0.017826336975273145
i1,raw_history,100,0.0,6,300,wire_bits,550784.0
i1,raw_history,100,0.0,6,300,memory_bits,451400.0
i1,raw_history,100,0.0,6,300,match_ops,1225345.6666666667
i1,raw_history,101,0.0,6,300,group_cost.fragile,156.63888888888889
i1,raw_history,101,0.0,6,300,group_cost.robust,200.4177777777778
i1,raw_history,101,0.0,6,300,success_first,0.05388888888888889
i1,raw_history,101,0.0,6,300,fail_open,0.905
i1,raw_history,101,0.0,6,300,refusal,0.04111111111111111
i1,raw_history,101,0.0,6,300,hazard_hits,5.516666666666667
i1,raw_history,101,0.0,6,300,duplicate_rate,0.01834862385321101
i1,raw_history,101,0.0,6,300,wire_bits,556178.0
i1,raw_history,101,0.0,6,300,memory_bits,462358.6666666667
i1,raw_history,101,0.0,6,300,match_ops,1286600.3333333333
i1,raw_history,102,0.0,6,300,group_cost.fragile,158.3788888888889
i1,raw_history,102,0.0,6,300,group_cost.robust,204.4488888888889
i1,raw_history,102,0.0,6,300,success_first,0.051111111111111114
i1,raw_history,102,0.0,6,300,fail_open,0.9066666666666666
i1,raw_history,102,0.0,6,300,refusal,0.042222222222222223
i1,raw_history,102,0.0,6,300,hazard_hits,5.704444444444444
i1,raw_history,102,0.0,6,300,duplicate_rate,0.01669545192861255
i1,raw_history,102,0.0,6,300,wire_bits,556744.0
i1,raw_history,102,0.0,6,300,memory_bits,461914.6666666667
i1,raw_history,102,0.0,6,300,match_ops,1292282.3333333333
i1,raw_history,103,0.0,6,300,group_cost.fragile,165.98555555555555
i1,raw_history,103,0.0,6,300,group_cost.robust,208.41
i1,raw_history,103,0.0,6,300,success_first,0.05333333333333334
i1,raw_history,103,0.0,6,300,fail_open,0.9088888888888889
i1,raw_history,103,0.0,6,300,refusal,0.03777777777777778
i1,raw_history,103,0.0,6,300,hazard_hits,5.8533333333333335
i1,raw_history,103,0.0,6,300,duplicate_rate,0.0194954128440367
i1,raw_history,103,0.0,6,300,wire_bits,549536.0
i1,raw_history,103,0.0,6,300,memory_bits,456789.0
i1,raw_history,103,0.0,6,300,match_ops,1257786.0
i1,raw_history,104,0.0,6,300,group_cost.fragile,161.9188888888889
i1,raw_history,104,0.0,6,300,group_cost.robust,199.45666666666668
i1,raw_history,104,0.0,6,300,success_first,0.058333333333333334
i1,raw_history,104,0.0,6,300,fail_open,0.8955555555555555
i1,raw_history,104,0.0,6,300,refusal,0.04611111111111111
i1,raw_history,104,0.0,6,300,hazard_hits,5.59
i1,raw_history,104,0.0,6,300,duplicate_rate,0.02131336405529954
i1,raw_history,104,0.0,6,300,wire_bits,554434.0
i1,raw_history,104,0.0,6,300,memory_bits,450683.0
i1,raw_history,104,0.0,6,300,match_ops,1247312.3333333333
i1,raw_history,105,0.0,6,300,group_cost.fragile,153.77666666666667
i1,raw_history,105,0.0,6,300,group_cost.robust,203.52444444444444
i1,raw_history,105,0.0,6,300,success_first,0.05444444444444444
i1,raw_history,105,0.0,6,300,fail_open,0.8955555555555555
i1,raw_history,105,0.0,6,300,refusal,0.05
i1,raw_history,105,0.0,6,300,hazard_hits,5.511111111111111
i1,raw_history,105,0.0,6,300,duplicate_rate,0.017981438515081206
i1,raw_history,105,0.0,6,300,wire_bits,562252.0
i1,raw_history,105,0.0,6,300,memory_bits,472753.0
i1,raw_history,105,0.0,6,300,match_ops,1305501.3333333333
i1,raw_history,106,0.0,6,300,group_cost.fragile,160.34777777777776
i1,raw_history,106,0.0,6,300,group_cost.robust,193.37777777777777
i1,raw_history,106,0.0,6,300,success_first,0.055
i1,raw_history,106,0.0,6,300,fail_open,0.905
i1,raw_history,106,0.0,6,300,refusal,0.04
i1,raw_history,106,0.0,6,300,hazard_hits,5.492222222222222
i1,raw_history,106,0.0,6,300,duplicate_rate,0.013745704467353952
i1,raw_history,106,0.0,6,300,wire_bits,558746.0
i1,raw_history,106,0.0,6,300,memory_bits,463634.6666666667
i1,raw_history,106,0.0,6,300,match_ops,1275404.0
i1,raw_history,107,0.0,6,300,group_cost.fragile,161.75333333333333
i1,raw_history,107,0.0,6,300,group_cost.robust,196.97444444444446
i1,raw_history,107,0.0,6,300,success_first,0.06055555555555556
i1,raw_history,107,0.0,6,300,fail_open,0.89
i1,raw_history,107,0.0,6,300,refusal,0.049444444444444444
i1,raw_history,107,0.0,6,300,hazard_hits,5.629444444444444
i1,raw_history,107,0.0,6,300,duplicate_rate,0.014985590778097982
i1,raw_history,107,0.0,6,300,wire_bits,556236.0
i1,raw_history,107,0.0,6,300,memory_bits,449394.6666666667
i1,raw_history,107,0.0,6,300,match_ops,1247211.0
i1,raw_history,108,0.0,6,300,group_cost.fragile,158.19555555555556
i1,raw_history,108,0.0,6,300,group_cost.robust,206.83444444444444
i1,raw_history,108,0.0,6,300,success_first,0.06055555555555556
i1,raw_history,108,0.0,6,300,fail_open,0.9033333333333333
i1,raw_history,108,0.0,6,300,refusal,0.03611111111111111
i1,raw_history,108,0.0,6,300,hazard_hits,5.470555555555555
i1,raw_history,108,0.0,6,300,duplicate_rate,0.020654044750430294
i1,raw_history,108,0.0,6,300,wire_bits,552632.0
i1,raw_history,108,0.0,6,300,memory_bits,456419.6666666667
i1,raw_history,108,0.0,6,300,match_ops,1262968.6666666667
i1,raw_history,109,0.0,6,300,group_cost.fragile,159.09222222222223
i1,raw_history,109,0.0,6,300,group_cost.robust,198.4188888888889
i1,raw_history,109,0.0,6,300,success_first,0.051111111111111114
i1,raw_history,109,0.0,6,300,fail_open,0.9011111111111111
i1,raw_history,109,0.0,6,300,refusal,0.04777777777777778
i1,raw_history,109,0.0,6,300,hazard_hits,5.608888888888889
i1,raw_history,109,0.0,6,300,duplicate_rate,0.01910828025477707
i1,raw_history,109,0.0,6,300,wire_bits,553174.0
i1,raw_history,109,0.0,6,300,memory_bits,453570.3333333333
i1,raw_history,109,0.0,6,300,match_ops,1232212.3333333333
i1,raw_history,110,0.0,6,300,group_cost.fragile,162.42666666666668
i1,raw_history,110,0.0,6,300,group_cost.robust,198.58666666666667
i1,raw_history,110,0.0,6,300,success_first,0.058888888888888886
i1,raw_history,110,0.0,6,300,fail_open,0.9033333333333333
i1,raw_history,110,0.0,6,300,refusal,0.03777777777777778
i1,raw_history,110,0.0,6,300,hazard_hits,5.502222222222223
i1,raw_history,110,0.0,6,300,duplicate_rate,0.020080321285140562
i1,raw_history,110,0.0,6,300,wire_bits,554140.0
i1,raw_history,110,0.0,6,300,memory_bits,450727.0
i1,raw_history,110,0.0,6,300,match_ops,1238803.3333333333
i1,raw_history,111,0.0,6,300,group_cost.fragile,159.94333333333333
i1,raw_history,111,0.0,6,300,group_cost.robust,196.65333333333334
i1,raw_history,111,0.0,6,300,success_first,0.058333333333333334
i1,raw_history,111,0.0,6,300,fail_open,0.9005555555555556
i1,raw_history,111,0.0,6,300,refusal,0.04111111111111111
i1,raw_history,111,0.0,6,300,hazard_hits,5.442777777777778
i1,raw_history,111,0.0,6,300,duplicate_rate,0.016073478760045924
i1,raw_history,111,0.0,6,300,wire_bits,556752.0
i1,raw_history,111,0.0,6,300,memory_bits,452378.3333333333
i1,raw_history,111,0.0,6,300,match_ops,1240281.3333333333
i1,raw_history,100,0.0,6,300,group_cost.fragile,154.29555555555555
i1,raw_history,100,0.0,6,300,group_cost.robust,204.62555555555556
i1,raw_history,100,0.0,6,300,success_first,0.05388888888888889
i1,raw_history,100,0.0,6,300,fail_open,0.8994444444444445
i1,raw_history,100,0.0,6,300,refusal,0.04666666666666667
i1,raw_history,100,0.0,6,300,hazard_hits,5.623333333333333
i1,raw_history,100,0.0,6,300,duplicate_rate,0.01897642323174238
i1,raw_history,100,0.0,6,300,wire_bits,440184.0
i1,raw_history,100,0.0,6,300,memory_bits,359770.6666666667
i1,raw_history,100,0.0,6,300,match_ops,1168158.6666666667
i1,raw_history,101,0.0,6,300,group_cost.fragile,154.15222222222224
i1,raw_history,101,0.0,6,300,group_cost.robust,200.4111111111111
i1,raw_history,101,0.0,6,300,success_first,0.04833333333333333
