n_agents,n_waters,layout,arch_label,architecture,broadcast_every_k,hazard_density,n_seeds,success_rate_mean,success_rate_std,mean_t_succ_mean,mean_t_succ_std,p95_t_succ_mean,total_trail_mean,n_hazard_hits_mean,scarcity
3,2,asymmetric,centralized,centralized,-1,0.0,20,0.6666666666666666,0.0,22.0,0.0,39.0,97.0,0.0,1.5
3,2,asymmetric,centralized,centralized,-1,0.05,20,0.6666666666666666,0.0,22.0,0.0,39.0,97.0,8.45,1.5
3,2,asymmetric,centralized,centralized,-1,0.1,20,0.6666666666666666,0.0,22.0,0.0,39.0,97.0,17.0,1.5
3,2,asymmetric,independent,independent,-1,0.0,20,0.6666666666666666,0.0,13.5,0.0,22.0,111.0,0.0,1.5
3,2,asymmetric,independent,independent,-1,0.05,20,0.6666666666666666,0.0,13.5,0.0,22.0,111.0,8.4,1.5
3,2,asymmetric,independent,independent,-1,0.1,20,0.6666666666666666,0.0,13.5,0.0,22.0,111.0,13.85,1.5
3,2,asymmetric,peer(K=1),peer,1,0.0,20,0.6666666666666666,0.0,23.0,0.0,41.0,122.0,0.0,1.5
3,2,asymmetric,peer(K=1),peer,1,0.05,20,0.6666666666666666,0.0,23.0,0.0,41.0,122.0,7.9,1.5
3,2,asymmetric,peer(K=1),peer,1,0.1,20,0.6666666666666666,0.0,23.0,0.0,41.0,122.0,15.45,1.5
3,2,asymmetric,peer(K=16),peer,16,0.0,20,0.6666666666666666,0.0,13.5,0.0,22.0,111.0,0.0,1.5
3,2,asymmetric,peer(K=16),peer,16,0.05,20,0.6666666666666666,0.0,13.5,0.0,22.0,111.0,8.0,1.5
3,2,asymmetric,peer(K=16),peer,16,0.1,20,0.6666666666666666,0.0,13.5,0.0,22.0,111.0,14.3,1.5
3,2,asymmetric,peer(K=2),peer,2,0.0,20,0.6666666666666666,0.0,23.0,0.0,41.0,122.0,0.0,1.5
3,2,asymmetric,peer(K=2),peer,2,0.05,20,0.6666666666666666,0.0,23.0,0.0,41.0,122.0,7.9,1.5
3,2,asymmetric,peer(K=2),peer,2,0.1,20,0.6666666666666666,0.0,23.0,0.0,41.0,122.0,15.45,1.5
3,2,asymmetric,peer(K=4),peer,4,0.0,20,0.6666666666666666,0.0,30.0,0.0,55.0,124.0,0.0,1.5
3,2,asymmetric,peer(K=4),peer,4,0.05,20,0.6666666666666666,0.0,30.0,0.0,55.0,124.0,9.2,1.5
