n_agents,n_waters,layout,architecture,broadcast_every_k,hazard_density,seed,step_limit,n_succeeded,success_rate,mean_t_succ,p95_t_succ,total_trail,n_hazard_hits,scarcity,tag
3,2,asymmetric,independent,-1,0.0,0,60,2,0.6666666666666666,13.5,22,69,0,1.5,N=3_M=2_L=asymmetric_A=independent_-_H=0.0_s=0
3,2,asymmetric,independent,-1,0.0,2,60,2,0.6666666666666666,13.5,22,69,0,1.5,N=3_M=2_L=asymmetric_A=independent_-_H=0.0_s=2
3,2,asymmetric,independent,-1,0.0,1,60,2,0.6666666666666666,13.5,22,69,0,1.5,N=3_M=2_L=asymmetric_A=independent_-_H=0.0_s=1
3,2,asymmetric,centralized,-1,0.0,0,60,2,0.6666666666666666,22,39,72,0,1.5,N=3_M=2_L=asymmetric_A=centralized_-_H=0.0_s=0
3,2,asymmetric,centralized,-1,0.0,1,60,2,0.6666666666666666,22,39,72,0,1.5,N=3_M=2_L=asymmetric_A=centralized_-_H=0.0_s=1
3,2,asymmetric,centralized,-1,0.0,2,60,2,0.6666666666666666,22,39,72,0,1.5,N=3_M=2_L=asymmetric_A=centralized_-_H=0.0_s=2
3,2,asymmetric,peer,1,0.0,0,60,2,0.6666666666666666,23,41,86,0,1.5,N=3_M=2_L=asymmetric_A=peer_k1_H=0.0_s=0
3,2,asymmetric,peer,1,0.0,1,60,2,0.6666666666666666,23,41,86,0,1.5,N=3_M=2_L=asymmetric_A=peer_k1_H=0.0_s=1
3,2,asymmetric,peer,4,0.0,0,60,2,0.6666666666666666,30,55,95,0,1.5,N=3_M=2_L=asymmetric_A=peer_k4_H=0.0_s=0
3,2,asymmetric,peer,1,0.0,2,60,2,0.6666666666666666,23,41,86,0,1.5,N=3_M=2_L=asymmetric_A=peer_k1_H=0.0_s=2
3,2,asymmetric,peer,4,0.0,1,60,2,0.6666666666666666,30,55,95,0,1.5,N=3_M=2_L=asymmetric_A=peer_k4_H=0.0_s=1
3,2,asymmetric,peer,4,0.0,2,60,2,0.6666666666666666,30,55,95,0,1.5,N=3_M=2_L=asymmetric_A=peer_k4_H=0.0_s=2
3,3,asymmetric,independent,-1,0.0,0,60,3,1.0,10.666666666666666,23,28,0,1.0,N=3_M=3_L=asymmetric_A=independent_-_H=0.0_s=0
3,3,asymmetric,independent,-1,0.0,1,60,3,1.0,10.666666666666666,23,28,0,1.0,N=3_M=3_L=asymmetric_A=independent_-_H=0.0_s=1
3,3,asymmetric,independent,-1,0.0,2,60,3,1.0,10.666666666666666,23,28,0,1.0,N=3_M=3_L=asymmetric_A=independent_-_H=0.0_s=2
3,3,asymmetric,centralized,-1,0.0,0,60,3,1.0,16.666666666666668,41,35,0,1.0,N=3_M=3_L=asymmetric_A=centralized_-_H=0.0_s=0
3,3,asymmetric,centralized,-1,0.0,2,60,3,1.0,16.666666666666668,41,35,0,1.0,N=3_M=3_L=asymmetric_A=centralized_-_H=0.0_s=2
3,3,asymmetric,centralized,-1,0.0,1,60,3,1.0,16.666666666666668,41,35,0,1.0,N=3_M=3_L=asymmetric_A=centralized_-_H=0.0_s=1
3,3,asymmetric,peer,1,0.0,0,60,3,1.0,16.666666666666668,41,40,0,1.0,N=3_M=3_L=asymmetric_A=peer_k1_H=0.0_s=0
3,3,asymmetric,peer,1,0.0,1,60,3,1.0,16.666666666666668,41,40,0,1.0,N=3_M=3_L=asymmetric_A=peer_k1_H=0.0_s=1
3,3,asymmetric,peer,1,0.0,2,60,3,1.0,16.666666666666668,41,40,0,1.0,N=3_M=3_L=asymmetric_A=peer_k1_H=0.0_s=2
3,3,asymmetric,peer,4,0.0,0,60,3,1.0,22.666666666666668,59,52,0,1.0,N=3_M=3_L=asymmetric_A=peer_k4_H=0.0_s=0
3,3,asymmetric,peer,4,0.0,1,60,3,1.0,22.666666666666668,59,52,0,1.0,N=3_M=3_L=asymmetric_A=peer_k4_H=0.0_s=1
3,3,asymmetric,peer,4,0.0,2,60,3,1.0,22.666666666666668,59,52,0,1.0,N=3_M=3_L=asymmetric_A=peer_k4_H=0.0_s=2
